,PassengerId,Survived,Age,Pclass,Sex,Fare
787,788,0,8.0,3,1,29.125
788,789,1,1.0,3,1,20.575
789,790,0,46.0,1,1,79.2
790,791,0,,3,1,7.75
791,792,0,16.0,2,1,26.0
792,793,0,,3,0,69.55
793,794,0,,1,1,30.6958
794,795,0,25.0,3,1,7.8958
795,796,0,39.0,2,1,13.0
796,797,1,49.0,1,0,25.9292
797,798,1,31.0,3,0,8.6833
798,799,0,30.0,3,1,7.2292
799,800,0,30.0,3,0,24.15
800,801,0,34.0,2,1,13.0
801,802,1,31.0,2,0,26.25
802,803,1,11.0,1,1,120.0
803,804,1,0.42,3,1,8.5167
804,805,1,27.0,3,1,6.975
805,806,0,31.0,3,1,7.775
806,807,0,39.0,1,1,0.0
807,808,0,18.0,3,0,7.775
808,809,0,39.0,2,1,13.0
809,810,1,33.0,1,0,53.1
810,811,0,26.0,3,1,7.8875
811,812,0,39.0,3,1,24.15
812,813,0,35.0,2,1,10.5
813,814,0,6.0,3,0,31.275
814,815,0,30.5,3,1,8.05
815,816,0,,1,1,0.0
816,817,0,23.0,3,0,7.925
817,818,0,31.0,2,1,37.0042
818,819,0,43.0,3,1,6.45
819,820,0,10.0,3,1,27.9
820,821,1,52.0,1,0,93.5
821,822,1,27.0,3,1,8.6625
822,823,0,38.0,1,1,0.0
823,824,1,27.0,3,0,12.475
824,825,0,2.0,3,1,39.6875
825,826,0,,3,1,6.95
826,827,0,,3,1,56.4958
827,828,1,1.0,2,1,37.0042
828,829,1,,3,1,7.75
829,830,1,62.0,1,0,80.0
830,831,1,15.0,3,0,14.4542
831,832,1,0.83,2,1,18.75
832,833,0,,3,1,7.2292
833,834,0,23.0,3,1,7.8542
834,835,0,18.0,3,1,8.3
835,836,1,39.0,1,0,83.1583
836,837,0,21.0,3,1,8.6625
837,838,0,,3,1,8.05
838,839,1,32.0,3,1,56.4958
839,840,1,,1,1,29.7
840,841,0,20.0,3,1,7.925
841,842,0,16.0,2,1,10.5
842,843,1,30.0,1,0,31.0
843,844,0,34.5,3,1,6.4375
844,845,0,17.0,3,1,8.6625
845,846,0,42.0,3,1,7.55
846,847,0,,3,1,69.55
847,848,0,35.0,3,1,7.8958
848,849,0,28.0,2,1,33.0
849,850,1,,1,0,89.1042
850,851,0,4.0,3,1,31.275
851,852,0,74.0,3,1,7.775
852,853,0,9.0,3,0,15.2458
853,854,1,16.0,1,0,39.4
854,855,0,44.0,2,0,26.0
855,856,1,18.0,3,0,9.35
856,857,1,45.0,1,0,164.8667
857,858,1,51.0,1,1,26.55
858,859,1,24.0,3,0,19.2583
859,860,0,,3,1,7.2292
860,861,0,41.0,3,1,14.1083
861,862,0,21.0,2,1,11.5
862,863,1,48.0,1,0,25.9292
863,864,0,,3,0,69.55
864,865,0,24.0,2,1,13.0
865,866,1,42.0,2,0,13.0
866,867,1,27.0,2,0,13.8583
867,868,0,31.0,1,1,50.4958
868,869,0,,3,1,9.5
869,870,1,4.0,3,1,11.1333
870,871,0,26.0,3,1,7.8958
871,872,1,47.0,1,0,52.5542
872,873,0,33.0,1,1,5.0
873,874,0,47.0,3,1,9.0
874,875,1,28.0,2,0,24.0
875,876,1,15.0,3,0,7.225
876,877,0,20.0,3,1,9.8458
877,878,0,19.0,3,1,7.8958
878,879,0,,3,1,7.8958
879,880,1,56.0,1,0,83.1583
880,881,1,25.0,2,0,26.0
881,882,0,33.0,3,1,7.8958
882,883,0,22.0,3,0,10.5167
883,884,0,28.0,2,1,10.5
884,885,0,25.0,3,1,7.05
885,886,0,39.0,3,0,29.125
886,887,0,27.0,2,1,13.0
887,888,1,19.0,1,0,30.0
888,889,0,,3,0,23.45
889,890,1,26.0,1,1,30.0
890,891,0,32.0,3,1,7.75
